Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
302,5/2/2025,NA,Giveaways 5/2/25,,,,, $ 45.00 ,, $ -   , $ -   , $ -   ,0%,5/2/2025,  -   
303,4/27/2025,house_of_luxury,Prada Beige Compact Wallet,,,,, $ 94.97 ,,,, $ -   ,0%,,  100.00 
304,4/28/2025,house_of_luxury,Louis Vuitton Damier Ebene Neverful PM,,,Needs to go to cobbler,, $ 543.64 ,,,, $ -   ,0%,,  99.00 
305,4/29/2025,athenasluxe,Gucci Beige Keychain,,,,, $ 89.39 ,, $ 125.00 , $ 110.53 , $ 14.47 ,12%,6/10/2025,  42.00 
306,4/30/2025,houstonselects,Prada Muted Pink Tote Bag,,,,, $ 271.39 ,,,, $ -   ,0%,,  97.00 
307,4/30/2025,panandpiperscloset,Louis Vuitton Viviene Charm,,,,, $ 82.86 ,,,, $ -   ,0%,,  97.00 
308,4/30/2025,panandpiperscloset,Louis Vuitton Zebra Charm,,,,, $ 32.28 ,,,, $ -   ,0%,,  97.00 
309,5/1/2025,crysdea,Chanel Beauty Box,,,,, $ 61.85 ,,,, $ -   ,0%,,  96.00 
310,5/1/2025,designerbrandbag,Saint Laurent YSL 2Way Pink Bag,,,,, $ 287.73 ,, $ 549.00 , $ 487.10 , $ 61.90 ,11%,5/16/2025,  15.00 
311,5/1/2025,houstonselects,Louis Vuitton Damier Azul Sarah Wallet,,,Good Condition,, $ 117.84 ,, $ 167.00 , $ 147.48 , $ 19.52 ,12%,6/27/2025,  57.00 
312,5/1/2025,panandpiperscloset,Sponsored ear pods for chat,,,,, $ 27.32 ,, $ -   , $ -   , $ -   ,0%,5/1/2025,  -   
314,5/1/2025,panandpiperscloset,Tiffany Heart Necklace with Pouch,,,,, $ 46.83 , $ 190.00 , $ 190.00 , $ 128.80 , $ 61.20 ,32%,,  96.00 
